City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Kurayoshi,JP,84.11,heavy intensity rain,35.4333,133.8167,Hotel Ark 21
530,Candolim,IN,77.0,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
531,Ambon,ID,81.23,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
532,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
534,Hue,VN,82.51,few clouds,16.4667,107.6,Saigon Morin Hotel
535,Khash,IR,89.01,broken clouds,28.2211,61.2158,خوابگاه آبجی محدثه
536,Tautira,PF,77.16,few clouds,-17.7333,-149.15,Pension Oaoa
546,Semenyih,MY,80.38,overcast clouds,2.9516,101.843,Diamond City Bungalow 13 pax by BeeStay near Broga
547,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
548,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
549,Leiyang,CN,84.7,clear sky,26.4024,112.8591,Dongyang Hotel
550,Tortoli,IT,78.91,broken clouds,39.9256,9.6572,Hotel La Bitta
556,Kimbe,PG,76.35,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
562,Sidi Ali,DZ,85.68,clear sky,36.0998,0.4206,Khaled
566,Huangyan,CN,75.6,overcast clouds,28.6478,121.2594,景和商务酒店
568,Shache,CN,78.6,clear sky,38.4167,77.2406,Delong Hotel
572,Tambopata,PE,78.69,clear sky,-12.7333,-69.1833,Enashawa Lodge
574,Estelle,US,82.99,clear sky,29.8458,-90.1067,Ohio
575,Sarankhola,BD,80.42,few clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
579,Cocobeach,GA,78.67,light rain,1.0002,9.5823,Hotel Esperance
584,Langsa,ID,75.51,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
585,Buala,SB,78.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
586,Grand-Santi,GF,84.78,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
591,Hobyo,SO,80.74,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
592,Bria,CF,75.85,overcast clouds,6.5423,21.9863,WFP Guesthouse
594,Cape Coast,GH,77.67,scattered clouds,5.1053,-1.2466,Samrit Hotel
598,Rabat,MA,81.05,scattered clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
600,Matara,LK,79.77,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
602,Kutum,SD,88.56,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
603,Damietta,EG,84.09,clear sky,31.4165,31.8133,SULIMAN INN
605,Pauini,BR,87.85,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
608,Pangkalanbuun,ID,76.75,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
609,Brownsville,US,78.1,scattered clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
610,Praya,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
612,Bubaque,GW,79.02,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
617,Rock Sound,BS,83.39,clear sky,24.9,-76.2,Pink Corral Bay Property
618,Vung Tau,VN,81.77,overcast clouds,10.346,107.0843,Seaside Resort
620,Dorado,PR,77.86,shower rain,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
622,Xapuri,BR,86.05,clear sky,-10.6517,-68.5044,Pousada dos Chapurys
624,Gasa,PS,86.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
625,Mayumba,GA,78.62,scattered clouds,-3.432,10.6554,LIKWALE LODGE
