City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Kruisfontein,ZA,2022-09-17 15:52:28,-34.0033,24.7314,61.88,78,94,10.49
211,Cabo San Lucas,MX,2022-09-17 15:49:02,22.8909,-109.9124,88.52,73,70,1.01
212,Vrangel,RU,2022-09-17 15:52:29,42.7297,133.0839,64.85,98,100,7.38
213,Kamaishi,JP,2022-09-17 15:52:29,39.2667,141.8833,72.68,95,100,8.16
214,Ostrovnoy,RU,2022-09-17 15:52:30,68.0531,39.5131,48.83,97,100,11.39
215,Hirado,JP,2022-09-17 15:52:30,33.3597,129.5531,80.38,85,100,20.98
216,Vanimo,PG,2022-09-17 15:52:30,-2.6741,141.3028,76.77,89,22,3.29
217,Clyde River,CA,2022-09-17 15:52:31,70.4692,-68.5914,34.03,100,100,16.11
218,Coutances,FR,2022-09-17 15:52:31,49.05,-1.4333,60.96,47,43,9.37
219,Portland,US,2022-09-17 15:52:31,45.5234,-122.6762,56.57,88,75,3.44
220,Katsuura,JP,2022-09-17 15:52:32,35.1333,140.3,78.82,87,100,11.21
221,Bijie,CN,2022-09-17 15:52:32,27.3125,105.2942,64.69,92,38,1.23
222,Sao Filipe,CV,2022-09-17 15:52:32,14.8961,-24.4956,79.43,76,13,9.31
223,Pasighat,IN,2022-09-17 15:52:33,28.0667,95.3333,77.14,94,52,2.73
224,Dingle,PH,2022-09-17 15:52:33,10.9995,122.6711,75.9,89,88,4.88
225,Sesheke,ZM,2022-09-17 15:52:33,-17.4759,24.2968,85.06,16,20,6.22
226,Shelburne,CA,2022-09-17 15:52:34,44.0787,-80.2041,72.75,70,85,10.78
227,Acarau,BR,2022-09-17 15:52:34,-2.8856,-40.12,88.18,56,47,19.39
228,Peravurani,IN,2022-09-17 15:52:34,10.3,79.1833,82.9,75,100,11.81
229,San Ramon De La Nueva Oran,AR,2022-09-17 15:52:35,-23.1322,-64.326,83.43,19,0,2.8
230,Harper,LR,2022-09-17 15:52:35,4.375,-7.7169,79.43,75,79,11.72
231,Lebork,PL,2022-09-17 15:53:35,54.5392,17.7501,60.93,78,26,9.75
232,Yushala,RU,2022-09-17 15:53:36,57.0761,64.2601,59.2,42,100,9.8
233,Bojnurd,IR,2022-09-17 15:53:36,37.4747,57.329,75.15,27,0,11.5
234,Buchanan,LR,2022-09-17 15:53:37,5.8808,-10.0467,78.84,81,83,13.44
235,Imeni Poliny Osipenko,RU,2022-09-17 15:53:37,52.4201,136.4853,44.15,89,100,1.61
236,Bandarbeyla,SO,2022-09-17 15:53:37,9.4942,50.8122,77.07,86,62,31.0
237,La Ronge,CA,2022-09-17 15:53:38,55.1001,-105.2842,57.42,71,75,9.22
238,Ayorou,NE,2022-09-17 15:53:38,14.7308,0.9174,96.06,32,61,9.06
239,Pemangkat,ID,2022-09-17 15:53:38,1.1667,108.9667,77.85,86,100,3.58
240,Lompoc,US,2022-09-17 15:53:39,34.6391,-120.4579,68.77,88,100,14.97
241,Ilulissat,GL,2022-09-17 15:53:39,69.2167,-51.1,39.11,81,100,2.19
242,Makrana,IN,2022-09-17 15:53:39,27.05,74.7167,80.64,58,7,11.92
243,Port Shepstone,ZA,2022-09-17 15:53:40,-30.7414,30.455,67.86,76,100,3.42
244,Baruun-Urt,MN,2022-09-17 15:53:40,46.6806,113.2792,42.76,60,4,8.66
245,Hasaki,JP,2022-09-17 15:53:41,35.7333,140.8333,77.4,83,100,12.59
246,Bafra,TR,2022-09-17 15:53:41,41.5678,35.9069,78.82,67,47,4.65
247,Waipawa,NZ,2022-09-17 15:53:41,-41.4122,175.5153,41.2,89,73,5.17
248,San Policarpo,PH,2022-09-17 15:53:42,12.1791,125.5072,79.47,84,97,6.42
249,Escanaba,US,2022-09-17 15:53:42,45.7453,-87.0646,74.25,83,0,10.36
250,Vila Velha,BR,2022-09-17 15:53:42,-20.3297,-40.2925,64.35,89,100,11.5
251,Batemans Bay,AU,2022-09-17 15:53:43,-35.7167,150.1833,57.09,54,20,10.09
252,Camacha,PT,2022-09-17 15:53:43,33.0833,-16.3333,76.42,78,40,16.11
253,Husavik,IS,2022-09-17 15:53:43,66.0449,-17.3389,45.41,71,100,3.96
254,Kushiro,JP,2022-09-17 15:53:44,42.975,144.3747,65.55,98,82,7.67
255,Arua,UG,2022-09-17 15:53:44,3.0201,30.9111,66.18,91,48,5.14
256,Nikolayevsk-Na-Amure,RU,2022-09-17 15:53:44,53.1406,140.73,45.01,91,81,4.36
257,San Jeronimo,PE,2022-09-17 15:53:45,-11.9472,-75.2829,61.34,42,14,3.22
258,Hami,CN,2022-09-17 15:53:45,42.8,93.45,70.23,15,44,5.3
259,Coahuayana,MX,2022-09-17 15:53:45,18.7333,-103.6833,77.31,91,99,2.06
260,Wladyslawowo,PL,2022-09-17 15:53:46,54.7909,18.4009,60.94,73,14,14.18
261,Vostok,RU,2022-09-17 15:53:46,46.4856,135.8833,52.75,98,100,2.75
262,Vardo,NO,2022-09-17 15:53:46,70.3705,31.1107,46.38,93,100,24.16
263,Ivanava,BY,2022-09-17 15:53:47,52.1451,25.5365,57.79,51,89,6.69
264,Hay River,CA,2022-09-17 15:53:47,60.8156,-115.7999,51.78,82,75,9.22
265,Ucluelet,CA,2022-09-17 15:53:47,48.9329,-125.5528,52.11,68,99,2.84
266,Isla Vista,US,2022-09-17 15:53:48,34.4133,-119.861,79.3,76,40,6.91
267,Pangnirtung,CA,2022-09-17 15:53:48,66.1451,-65.7125,42.8,81,75,6.91
268,Aykhal,RU,2022-09-17 15:53:49,66.0,111.5,25.81,93,97,24.94
269,College,US,2022-09-17 15:53:49,64.8569,-147.8028,41.32,89,0,0.0
270,Amahai,ID,2022-09-17 15:53:49,-3.3333,128.9167,75.13,90,100,2.28
271,Itoman,JP,2022-09-17 15:53:50,26.1247,127.6694,83.17,87,75,31.07
272,Vila Franca Do Campo,PT,2022-09-17 15:53:50,37.7167,-25.4333,79.21,73,41,8.19
273,Alcacer Do Sal,PT,2022-09-17 15:53:50,38.3733,-8.5144,88.2,33,1,5.14
274,Longyearbyen,SJ,2022-09-17 15:53:51,78.2186,15.6401,28.24,80,40,10.36
275,Terrace Bay,CA,2022-09-17 15:53:51,48.7834,-87.1,57.02,98,100,5.01
276,Barabai,ID,2022-09-17 15:53:51,-2.5833,115.3833,75.18,93,99,1.25
277,Huarmey,PE,2022-09-17 15:54:52,-10.0681,-78.1522,68.9,73,12,12.73
278,Bhag,PK,2022-09-17 15:54:52,29.0415,67.8239,95.02,37,0,7.2
279,Raudeberg,NO,2022-09-17 15:54:52,61.9875,5.1352,48.96,70,100,25.93
280,Phan Thiet,VN,2022-09-17 15:53:54,10.9333,108.1,79.77,81,95,8.01
281,Sept-Iles,CA,2022-09-17 15:50:51,50.2001,-66.3821,60.06,55,40,16.11
282,Nishihara,JP,2022-09-17 15:54:53,26.1842,127.7558,82.45,86,100,31.07
283,Bethel,US,2022-09-17 15:51:13,41.3712,-73.414,68.02,62,100,0.0
284,Takaka,NZ,2022-09-17 15:54:53,-40.85,172.8,46.56,79,29,3.71
285,Pimentel,PE,2022-09-17 15:54:54,-6.8367,-79.9342,68.29,73,20,9.22
286,Road Town,VG,2022-09-17 15:54:26,18.4167,-64.6167,81.05,80,100,28.77
287,Potiskum,NG,2022-09-17 15:54:54,11.7091,11.0694,77.2,78,100,2.77
288,Sao Domingos Do Maranhao,BR,2022-09-17 15:54:55,-5.5758,-44.3853,102.49,22,83,4.52
289,Chirongui,YT,2022-09-17 15:54:55,-12.9319,45.1483,76.93,71,8,1.14
290,Candelaria,PH,2022-09-17 15:54:55,13.9311,121.4233,78.39,91,100,4.07
291,Cayenne,GF,2022-09-17 15:52:54,4.9333,-52.3333,89.64,62,75,6.91
292,Kailua,US,2022-09-17 15:54:05,21.4022,-157.7394,73.44,92,67,7.67
293,Anadyr,RU,2022-09-17 15:54:56,64.75,177.4833,41.5,80,40,11.18
294,Ballina,AU,2022-09-17 15:54:22,-28.8667,153.5667,61.02,68,0,8.39
295,Saint-Pierre,RE,2022-09-17 15:54:56,-21.3393,55.4781,71.28,78,20,24.16
