City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Provideniya,RU,64.3833,-173.3,42.6,88,100,6.64,overcast clouds
165,Billings,US,45.7833,-108.5007,56.97,72,20,1.01,few clouds
166,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,81,0,8.95,clear sky
167,Amahai,ID,-3.3333,128.9167,78.71,86,100,3.27,overcast clouds
168,Northam,GB,51.0333,-4.2167,60.39,63,48,10.2,scattered clouds
169,Kismayo,SO,-0.3582,42.5454,80.6,71,31,15.66,scattered clouds
170,Neftcala,AZ,39.3742,49.2472,80.22,70,0,15.66,clear sky
171,Moose Factory,CA,51.2585,-80.6094,44.6,87,0,10.36,clear sky
172,Aloleng,PH,16.1307,119.7824,81.03,81,100,11.34,overcast clouds
173,Vardo,NO,70.3705,31.1107,46.38,100,100,16.11,light rain
174,Saint Anthony,US,45.0205,-93.218,64.33,90,100,12.66,overcast clouds
175,Maine-Soroa,NE,13.2114,12.0241,88.41,46,52,1.74,broken clouds
176,Bredasdorp,ZA,-34.5322,20.0403,56.71,73,91,16.31,light rain
177,Pacifica,US,37.6138,-122.4869,63.64,81,20,10.36,few clouds
178,Natal,BR,-5.795,-35.2094,84.42,74,75,12.66,broken clouds
179,Lavrentiya,RU,65.5833,-171.0,38.34,94,100,15.43,overcast clouds
180,Capao Da Canoa,BR,-29.7456,-50.0097,62.35,67,98,13.38,overcast clouds
181,Kazanskoye,RU,55.6448,69.235,65.03,32,99,8.57,overcast clouds
182,Tabasco,MX,18.0,-92.6667,75.07,97,100,3.47,overcast clouds
183,Taoudenni,ML,22.6783,-3.9836,104.61,12,17,6.31,few clouds
184,Katsuura,JP,35.1333,140.3,79.66,91,100,19.08,overcast clouds
185,Anadyr,RU,64.75,177.4833,36.1,93,0,6.71,clear sky
186,Fortuna,US,40.5982,-124.1573,55.92,91,100,4.47,light rain
187,Mildura,AU,-34.2,142.15,52.07,80,12,9.48,few clouds
188,Bilma,NE,18.6853,12.9164,98.49,24,99,5.01,overcast clouds
189,Popova,RU,42.9603,131.7228,66.88,89,13,8.16,few clouds
190,Manggar,ID,-2.8833,108.2667,80.76,81,100,7.18,overcast clouds
191,Nohar,IN,29.1833,74.7667,97.23,27,0,9.84,clear sky
192,Qaanaaq,GL,77.484,-69.3632,24.03,56,0,7.47,clear sky
193,Abnub,EG,27.2696,31.1511,95.22,13,0,14.67,clear sky
194,Elk Point,US,42.6833,-96.6836,59.68,83,97,2.15,overcast clouds
195,Tiksi,RU,71.6872,128.8694,33.03,72,94,3.04,overcast clouds
196,Iquique,CL,-20.2208,-70.1431,59.04,65,24,8.23,few clouds
197,Bathsheba,BB,13.2167,-59.5167,83.01,83,20,16.11,few clouds
198,Aswan,EG,24.0934,32.907,99.7,15,0,11.5,clear sky
199,Maxixe,MZ,-23.8597,35.3472,84.02,65,0,23.02,clear sky
200,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,87,75,32.21,broken clouds
201,Margate,GB,51.3813,1.3862,63.9,58,100,7.0,overcast clouds
202,Saint-Augustin,CA,51.226,-58.6502,47.08,52,26,20.45,scattered clouds
203,Srivardhan,IN,18.0333,73.0167,80.01,78,49,4.47,scattered clouds
204,Sosnovo-Ozerskoye,RU,52.5249,111.5418,35.38,63,0,5.75,clear sky
205,Touros,BR,-5.1989,-35.4608,82.08,67,82,14.36,broken clouds
206,Aktash,RU,50.3,87.7333,36.34,43,0,3.29,clear sky
207,Hoi An,VN,15.8794,108.335,78.76,77,62,3.36,broken clouds
208,Vaini,TO,-21.2,-175.2,73.56,83,75,6.91,broken clouds
209,Kemijarvi,FI,66.7131,27.4306,48.15,94,100,8.7,overcast clouds
210,Mattru,SL,7.6244,-11.8332,73.02,98,100,4.03,moderate rain
211,Shahada,IN,21.55,74.4667,79.16,83,100,7.83,overcast clouds
212,Hambantota,LK,6.1241,81.1185,86.34,74,20,14.97,few clouds
213,Honningsvag,NO,70.9821,25.9704,44.35,93,100,20.71,overcast clouds
214,Tasiilaq,GL,65.6145,-37.6368,42.96,95,100,16.96,moderate rain
215,Tuatapere,NZ,-46.1333,167.6833,47.8,83,100,5.55,light rain
216,Mandal,IN,25.45,74.5667,82.15,58,3,8.7,clear sky
217,Port Shepstone,ZA,-30.7414,30.455,70.52,78,26,8.34,scattered clouds
218,Seymour,US,38.9592,-85.8903,67.06,88,3,1.99,clear sky
219,Ostrovnoy,RU,68.0531,39.5131,48.13,98,100,10.02,light rain
220,Kaeo,NZ,-35.1,173.7833,60.33,79,100,12.35,overcast clouds
221,Iqaluit,CA,63.7506,-68.5145,40.73,75,40,19.57,scattered clouds
222,Puerto Ayora,EC,-0.7393,-90.3518,66.54,91,97,7.0,overcast clouds
223,Cabo San Lucas,MX,22.8909,-109.9124,83.52,70,89,3.56,overcast clouds
224,Boo,SE,59.3333,18.2833,57.04,72,40,12.66,scattered clouds
225,Narsaq,GL,60.9167,-46.05,57.42,62,94,6.64,overcast clouds
226,Dingle,PH,10.9995,122.6711,77.23,87,100,5.64,heavy intensity rain
227,Cirebon,ID,-6.7063,108.557,80.2,76,13,8.61,few clouds
228,Byron Bay,AU,-28.65,153.6167,60.76,57,92,7.67,overcast clouds
229,Thompson,CA,55.7435,-97.8558,51.96,100,100,5.75,mist
230,Ilulissat,GL,69.2167,-51.1,42.82,93,100,9.22,light rain
231,Mangochi,MW,-14.4782,35.2645,88.83,26,8,4.68,clear sky
232,Vila Franca Do Campo,PT,37.7167,-25.4333,80.2,79,89,3.83,overcast clouds
233,Maralal,KE,1.0968,36.698,74.66,36,30,7.0,scattered clouds
234,Kurilsk,RU,45.2333,147.8833,65.03,96,100,4.34,overcast clouds
235,Bandar-E Lengeh,IR,26.5579,54.8807,96.91,38,0,4.61,clear sky
236,Ambulu,ID,-8.345,113.6058,75.94,86,100,1.63,overcast clouds
237,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,82.81,70,100,0.96,overcast clouds
238,Leh,IN,34.1667,77.5833,60.28,17,0,3.24,clear sky
239,Bayan,CN,46.0833,127.4,50.94,61,6,14.76,clear sky
